土のうステーション_全国地方公共団体コード,地物、地点_ID,土のうステーション_ID,土のうステーション_名称,土のうステーション_名称（カナ）,土のうステーション_名称（英字）,土のうステーション_所在地,緯度,経度,土のうステーション_座標参照系,土のうステーション_座標参照系コード,土のうステーション_設置個数,土のうステーション_備考
352071,,kdmtsy000001,末武公民館,スエタケコウミンカン,,山口県下松市潮音町1丁目1番2号,34.0182766,131.85683,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000002,久保公民館,クボコウミンカン,,山口県下松市大字河内583番地1,34.0276829,131.9022272,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000003,上恋ヶ浜自治会館,カミコイガハマジチカイカン,,山口県下松市大字東豊井上恋ヶ浜481番地1,33.9957752,131.8795712,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000004,笠戸島公民館,カサドジマコウミンカン,,山口県下松市大字笠戸島698番地,33.952579,131.8505197,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000005,花岡公民館,ハナオカコウミンカン,,山口県下松市大字末武上1280番地1,34.0357892,131.8744184,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000006,中村総合福祉センター,ナカムラソウゴウフクシセンター,,山口県下松市瑞穂町4丁目3番12号,34.0241915,131.8501079,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000007,本浦公園,ホンウラコウエン,,山口県下松市大字笠戸島1534番1,33.9795319,131.863733,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000008,東豊井自治会倉庫前,ヒガシトヨイジチカイソウコマエ,,山口県下松市東豊井下豊井955番地2,34.0012655,131.8753387,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000009,深浦公園,フカウラコウエン,,山口県下松市大字笠戸島1119番1,33.9457221,131.8252701,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000010,中島町公園,ナカジマチョウコウエン,,山口県下松市中島町1丁目1,34.0133189,131.8620733,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000011,谷中戸原集会所,タニナカコハラシュウカイショ,,山口県下松市大字河内出合1900番地,34.0217683,131.8874694,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000012,上藤光街区公園,カミトウミツガイクコウエン,,山口県下松市藤光町2丁目3,34.0294558,131.8686431,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000013,栄町公園,サカエマチコウエン,,山口県下松市栄町3丁目8,34.011582,131.8691872,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000014,恋ヶ浜調整池,コイガハマチョウセイチ,,山口県下松市大字東豊井上恋ヶ浜,33.9944587,131.8795015,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000015,瀬戸線路肩（瀬戸集会所付近）,セトセンロカタ（セトシュウカイジョフキン）,,山口県下松市大字瀬戸,34.0609761,131.8919078,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
352071,,kdmtsy000016,下松市役所（グリーンプラザ）,クダマツシヤクショ（グリーンプラザ）,,山口県下松市大手町3丁目3番3号,34.0144898,131.8694687,世界測地系,,50,https://www.city.kudamatsu.lg.jp/doboku/youshiki/donoustation.html
